country_code,window_days,significance_label,rows,events,median_p_value_fdr,significant_05
ARG,30,forte,35,20,1.7541182731712576e-28,35
ARG,30,fraca,2,2,0.06171342902183996,0
ARG,30,moderada,2,2,0.023669966081393285,2
ARG,30,nao significativa,1,1,0.9622006844275914,0
ARG,90,forte,40,20,5.618116825625081e-83,40
ARG,180,forte,40,20,7.359116000116371e-157,40
ARG,365,forte,40,20,1.1657188859726235e-306,40
BRA,30,forte,41,26,2.302757559142464e-13,41
BRA,30,fraca,4,4,0.06518023401643888,0
BRA,30,insuficiente,64,32,,0
BRA,30,moderada,2,2,0.02544360552691871,2
BRA,30,nao significativa,17,13,0.7630468532030806,0
BRA,90,forte,69,31,4.2367567834125294e-19,69
BRA,90,fraca,5,5,0.08759577777951091,0
BRA,90,insuficiente,6,3,,0
BRA,90,moderada,6,5,0.025921790190205518,6
BRA,90,nao significativa,42,28,0.7265206501346997,0
BRA,180,forte,72,31,1.1813390837574099e-29,72
BRA,180,fraca,6,6,0.058156929743260366,0
BRA,180,moderada,4,4,0.01902716335235151,4
BRA,180,nao significativa,46,29,0.5143231965254136,0
BRA,365,forte,86,32,7.031437987243685e-46,86
BRA,365,fraca,5,5,0.07918772798303918,0
BRA,365,moderada,7,7,0.029243711494616683,7
BRA,365,nao significativa,30,25,0.5399834030665507,0
USA,30,forte,17,17,3.866221510490646e-05,17
USA,30,insuficiente,78,26,,0
USA,30,moderada,3,3,0.03903741253474354,3
USA,30,nao significativa,7,7,0.33034794941930123,0
USA,90,forte,67,27,7.598845057791374e-06,67
USA,90,fraca,8,6,0.05815305440934262,0
USA,90,insuficiente,34,27,,0
USA,90,moderada,12,9,0.024666341895196398,12
USA,90,nao significativa,14,12,0.3925847153724998,0
USA,180,forte,87,27,2.1667500670325634e-08,87
USA,180,fraca,4,4,0.08210845886298686,0
USA,180,insuficiente,27,27,,0
USA,180,moderada,4,4,0.018743269064603912,4
USA,180,nao significativa,13,13,0.45605654025025566,0
USA,365,forte,119,27,4.5090943253675334e-10,119
USA,365,fraca,1,1,0.08295513326298153,0
USA,365,moderada,6,5,0.02712197890114102,6
USA,365,nao significativa,9,9,0.38374068971669184,0
