country_code,indicator_slug,window_days,rows,events,first_event,last_event
ARG,dolar_blue,30,20,20,2018-06-15,2024-06-12
ARG,dolar_blue,90,20,20,2018-06-15,2024-06-12
ARG,dolar_blue,180,20,20,2018-06-15,2024-06-12
ARG,dolar_blue,365,20,20,2018-06-15,2024-06-12
ARG,dolar_oficial,30,20,20,2018-06-15,2024-06-12
ARG,dolar_oficial,90,20,20,2018-06-15,2024-06-12
ARG,dolar_oficial,180,20,20,2018-06-15,2024-06-12
ARG,dolar_oficial,365,20,20,2018-06-15,2024-06-12
BRA,cambio,30,32,32,2016-08-31,2024-10-16
BRA,cambio,90,32,32,2016-08-31,2024-10-16
BRA,cambio,180,32,32,2016-08-31,2024-10-16
BRA,cambio,365,32,32,2016-08-31,2024-10-16
BRA,gasolina,30,32,32,2016-08-31,2024-10-16
BRA,gasolina,90,32,32,2016-08-31,2024-10-16
BRA,gasolina,180,32,32,2016-08-31,2024-10-16
BRA,gasolina,365,32,32,2016-08-31,2024-10-16
BRA,ipca,30,32,32,2016-08-31,2024-10-16
BRA,ipca,90,32,32,2016-08-31,2024-10-16
BRA,ipca,180,32,32,2016-08-31,2024-10-16
BRA,ipca,365,32,32,2016-08-31,2024-10-16
BRA,selic,30,32,32,2016-08-31,2024-10-16
BRA,selic,90,32,32,2016-08-31,2024-10-16
BRA,selic,180,32,32,2016-08-31,2024-10-16
BRA,selic,365,32,32,2016-08-31,2024-10-16
USA,cpi,30,26,26,2016-11-08,2024-11-15
USA,cpi,90,27,27,2016-11-08,2024-11-15
USA,cpi,180,27,27,2016-11-08,2024-11-15
USA,cpi,365,27,27,2016-11-08,2024-11-15
USA,fed_funds,30,26,26,2016-11-08,2024-11-15
USA,fed_funds,90,27,27,2016-11-08,2024-11-15
USA,fed_funds,180,27,27,2016-11-08,2024-11-15
USA,fed_funds,365,27,27,2016-11-08,2024-11-15
USA,gasoline,30,27,27,2016-11-08,2024-11-15
USA,gasoline,90,27,27,2016-11-08,2024-11-15
USA,gasoline,180,27,27,2016-11-08,2024-11-15
USA,gasoline,365,27,27,2016-11-08,2024-11-15
USA,real_gdp,90,27,27,2016-11-08,2024-11-15
USA,real_gdp,180,27,27,2016-11-08,2024-11-15
USA,real_gdp,365,27,27,2016-11-08,2024-11-15
USA,unemployment,30,26,26,2016-11-08,2024-11-15
USA,unemployment,90,27,27,2016-11-08,2024-11-15
USA,unemployment,180,27,27,2016-11-08,2024-11-15
USA,unemployment,365,27,27,2016-11-08,2024-11-15
