country_code,event_category,days,min_events,median_events,max_events,median_observations,peak_abs_mean_z
ARG,economy,546,7,11.0,14,22.0,0.6327203513923383
ARG,external_shock,460,1,1.0,1,2.0,0.5726659682302855
ARG,politics,546,1,3.0,4,6.0,1.8287802741218757
ARG,society,390,1,1.0,1,2.0,1.8704219693803679
BRA,economy,546,5,16.0,19,34.0,0.5148654497425557
BRA,external_shock,467,1,2.0,2,4.0,1.0544687243219388
BRA,politics,546,4,7.0,10,14.0,0.6895900661682225
USA,economy,546,1,3.0,11,5.0,1.8723024189170825
USA,external_shock,93,1,1.0,1,1.0,1.8250270659078984
USA,politics,276,1,1.0,3,1.0,1.3908408855302112
